datetime,solarenergy
3/24/2021,22
3/25/2021,24
3/26/2021,25
3/27/2021,26
3/28/2021,26
3/29/2021,24
3/30/2021,25
3/31/2021,26
4/1/2021,28
4/2/2021,26
4/3/2021,26
4/4/2021,26
4/5/2021,26
4/6/2021,26
4/7/2021,25
4/8/2021,25
4/9/2021,26
4/10/2021,26
4/11/2021,26
4/12/2021,26
4/13/2021,27
4/14/2021,27
4/15/2021,20
4/16/2021,24
4/17/2021,26
4/18/2021,25
4/19/2021,15
4/20/2021,26
4/21/2021,26
4/22/2021,26
4/23/2021,27
4/24/2021,23
4/25/2021,25
4/26/2021,27
4/27/2021,26
4/28/2021,26
4/29/2021,26
4/30/2021,26
5/1/2021,17
5/2/2021,24
5/3/2021,19
5/4/2021,25
5/5/2021,26
5/6/2021,25
5/7/2021,24
5/8/2021,23
5/9/2021,25
5/10/2021,27
5/11/2021,26
5/12/2021,26
5/13/2021,27
5/14/2021,26
5/15/2021,25
5/16/2021,25
5/17/2021,27
5/18/2021,27
5/19/2021,27
5/20/2021,28
5/21/2021,27
5/22/2021,25
5/23/2021,27
5/24/2021,27
5/25/2021,26
5/26/2021,28
5/27/2021,26
5/28/2021,27
5/29/2021,25
5/30/2021,27
5/31/2021,27
6/1/2021,27
6/2/2021,28
6/3/2021,27
6/4/2021,26
6/5/2021,25
6/6/2021,26
6/7/2021,28
6/8/2021,27
6/9/2021,28
6/10/2021,27
6/11/2021,27
6/12/2021,26
6/13/2021,26
6/14/2021,27
6/15/2021,27
6/16/2021,27
6/17/2021,26
6/18/2021,25
6/19/2021,27
6/20/2021,27
6/21/2021,26
6/22/2021,26
6/23/2021,27
6/24/2021,27
6/25/2021,27
6/26/2021,27
6/27/2021,26
6/28/2021,27
6/29/2021,27
6/30/2021,27
7/1/2021,27
7/2/2021,27
7/3/2021,26
7/4/2021,25
7/5/2021,26
7/6/2021,26
7/7/2021,27
7/8/2021,27
7/9/2021,25
7/10/2021,27
7/11/2021,26
7/12/2021,10
7/13/2021,10
7/14/2021,10
7/15/2021,11
7/16/2021,13
7/17/2021,23
7/18/2021,21
7/19/2021,12
7/20/2021,24
7/21/2021,25
7/22/2021,26
7/23/2021,23
7/24/2021,19
7/25/2021,13
7/26/2021,21
7/27/2021,19
7/28/2021,19
7/29/2021,17
7/30/2021,19
7/31/2021,23
8/1/2021,20
8/2/2021,25
8/3/2021,23
8/4/2021,25
8/5/2021,25
8/6/2021,25
8/7/2021,25
8/8/2021,26
8/9/2021,26
8/10/2021,26
8/11/2021,26
8/12/2021,26
8/13/2021,26
8/14/2021,26
8/15/2021,25
8/16/2021,26
8/17/2021,26
8/18/2021,26
8/19/2021,25
8/20/2021,25
8/21/2021,26
8/22/2021,21
8/23/2021,25
8/24/2021,25
8/25/2021,25
8/26/2021,18
8/27/2021,23
8/28/2021,24
8/29/2021,25
8/30/2021,21
8/31/2021,20
9/1/2021,20
9/2/2021,21
9/3/2021,21
9/4/2021,22
9/5/2021,24
9/6/2021,24
9/7/2021,16
9/8/2021,15
9/9/2021,9
9/10/2021,17
9/11/2021,13
9/12/2021,22
9/13/2021,23
9/14/2021,23
9/15/2021,22
9/16/2021,24
9/17/2021,24
9/18/2021,23
9/19/2021,22
9/20/2021,23
9/21/2021,22
9/22/2021,21
9/23/2021,20
9/24/2021,22
9/25/2021,16
9/26/2021,22
9/27/2021,22
9/28/2021,20
9/29/2021,17
9/30/2021,10
10/1/2021,13
10/2/2021,22
10/3/2021,22
10/4/2021,22
10/5/2021,22
10/6/2021,22
10/7/2021,21
10/8/2021,21
10/9/2021,21
10/10/2021,21
10/11/2021,20
10/12/2021,21
10/13/2021,21
10/14/2021,21
10/15/2021,21
10/16/2021,21
10/17/2021,21
10/18/2021,21
10/19/2021,21
10/20/2021,21
10/21/2021,21
10/22/2021,20
10/23/2021,18
10/24/2021,17
10/25/2021,17
10/26/2021,17
10/27/2021,17
10/28/2021,17
10/29/2021,18
10/30/2021,18
10/31/2021,19
11/1/2021,19
11/2/2021,18
11/3/2021,15
11/4/2021,16
11/5/2021,16
11/6/2021,16
11/7/2021,16
11/8/2021,16
11/9/2021,17
11/10/2021,14
11/11/2021,17
11/12/2021,17
11/13/2021,17
11/14/2021,18
11/15/2021,17
11/16/2021,16
11/17/2021,16
11/18/2021,15
11/19/2021,16
11/20/2021,16
11/21/2021,15
11/22/2021,16
11/23/2021,17
11/24/2021,17
11/25/2021,16
11/26/2021,15
11/27/2021,16
11/28/2021,14
11/29/2021,14
11/30/2021,15
12/1/2021,15
12/2/2021,15
12/3/2021,15
12/4/2021,15
12/5/2021,14
12/6/2021,15
12/7/2021,14
12/8/2021,15
12/9/2021,16
12/10/2021,16
12/11/2021,16
12/12/2021,16
12/13/2021,15
12/14/2021,15
12/15/2021,16
12/16/2021,16
12/17/2021,16
12/18/2021,16
12/19/2021,16
12/20/2021,16
12/21/2021,14
12/22/2021,13
12/23/2021,14
12/24/2021,12
12/25/2021,11
12/26/2021,5
12/27/2021,9
12/28/2021,13
12/29/2021,15
12/30/2021,14
12/31/2021,15
1/1/2022,12
1/2/2022,15
1/3/2022,15
1/4/2022,12
1/5/2022,6
1/6/2022,14
1/7/2022,12
1/8/2022,16
1/9/2022,17
1/10/2022,17
1/11/2022,14
1/12/2022,13
1/13/2022,14
1/14/2022,14
1/15/2022,14
1/16/2022,14
1/17/2022,14
1/18/2022,14
1/19/2022,13
1/20/2022,14
1/21/2022,14
1/22/2022,15
1/23/2022,15
1/24/2022,15
1/25/2022,16
1/26/2022,14
1/27/2022,16
1/28/2022,16
1/29/2022,16
1/30/2022,15
1/31/2022,15
2/1/2022,16
2/2/2022,16
2/3/2022,16
2/4/2022,17
2/5/2022,16
2/6/2022,16
